age,job,marital,education,balance,housing,loan,contact,duration,campaign,deposit
32,technician,married,secondary,791,yes,no,unknown,783,2,yes
36,management,married,tertiary,849,yes,yes,unknown,958,2,yes
30,blue-collar,single,secondary,239,yes,no,unknown,412,1,yes
37,technician,single,secondary,1211,yes,no,unknown,795,1,yes
36,blue-collar,married,primary,599,yes,no,unknown,649,2,yes
31,management,single,tertiary,825,yes,no,unknown,506,2,yes
27,technician,married,secondary,2183,yes,yes,unknown,857,1,yes
34,retired,married,primary,4499,no,no,unknown,1681,1,yes
30,technician,single,tertiary,1289,yes,no,unknown,1697,2,yes
32,technician,single,tertiary,4665,yes,no,unknown,860,2,yes
37,technician,single,secondary,3326,yes,no,unknown,799,1,yes
32,blue-collar,married,secondary,783,yes,no,unknown,923,3,yes
33,blue-collar,married,secondary,0,yes,no,unknown,521,3,yes
35,blue-collar,married,primary,994,yes,no,unknown,1349,8,yes
35,self-employed,divorced,tertiary,1354,yes,no,unknown,736,2,yes
30,blue-collar,single,secondary,239,yes,no,unknown,785,1,yes
45,blue-collar,divorced,primary,-311,yes,no,unknown,1030,1,yes
45,admin.,married,secondary,149,yes,no,unknown,893,3,yes
33,blue-collar,married,secondary,1464,yes,no,unknown,588,3,yes
44,management,divorced,tertiary,5773,no,no,unknown,597,6,yes
40,blue-collar,married,primary,278,yes,no,unknown,1015,3,yes
31,blue-collar,married,secondary,2910,yes,no,unknown,1392,2,yes
30,technician,married,tertiary,541,yes,no,unknown,414,2,yes
44,technician,divorced,secondary,1262,yes,no,unknown,788,11,yes
34,services,married,secondary,-538,yes,no,unknown,682,1,yes
37,blue-collar,married,secondary,125,no,no,unknown,679,2,yes
28,self-employed,single,tertiary,0,yes,no,unknown,1560,2,yes
32,admin.,single,secondary,620,yes,no,unknown,1234,3,yes
37,blue-collar,divorced,secondary,316,yes,no,unknown,642,2,yes
34,management,married,tertiary,2287,yes,no,unknown,895,4,yes
38,admin.,divorced,secondary,198,yes,no,unknown,431,2,yes
28,admin.,single,secondary,460,yes,no,unknown,741,6,yes
31,management,divorced,tertiary,1145,yes,no,unknown,1272,4,yes
59,services,married,secondary,-22,yes,no,unknown,748,3,yes
24,blue-collar,married,secondary,685,yes,no,unknown,896,3,yes
26,services,single,secondary,901,yes,no,unknown,764,2,yes
59,retired,single,secondary,351,yes,no,unknown,1063,5,yes
30,entrepreneur,single,primary,0,yes,yes,unknown,1051,1,yes
37,admin.,married,secondary,274,yes,no,unknown,731,3,yes
30,admin.,single,secondary,-213,yes,yes,unknown,751,1,yes
25,blue-collar,married,secondary,97,yes,no,unknown,709,1,yes
44,services,divorced,secondary,51,yes,yes,unknown,3094,2,yes
29,management,married,tertiary,314,no,no,unknown,938,2,yes
26,management,single,tertiary,6840,yes,no,unknown,1560,2,yes
26,technician,single,secondary,668,yes,no,unknown,576,3,yes
27,services,single,secondary,54,yes,no,unknown,543,2,yes
25,self-employed,single,secondary,1242,yes,no,unknown,615,2,yes
28,management,married,secondary,292,yes,no,unknown,507,1,yes
23,services,single,secondary,665,yes,no,unknown,1183,1,yes
34,management,single,tertiary,1058,yes,no,unknown,864,2,yes
28,student,single,secondary,949,yes,no,unknown,1730,1,yes
51,entrepreneur,married,unknown,606,yes,no,unknown,560,9,yes
35,blue-collar,married,secondary,0,yes,yes,unknown,543,1,yes
35,admin.,married,secondary,404,yes,no,unknown,539,1,yes
56,blue-collar,married,secondary,249,yes,no,unknown,791,2,yes
45,unemployed,divorced,secondary,3354,yes,no,unknown,746,1,yes
60,blue-collar,divorced,secondary,0,yes,no,unknown,1207,1,yes
56,technician,married,secondary,589,yes,no,unknown,535,2,yes
27,management,single,tertiary,12956,yes,no,unknown,789,3,yes
30,admin.,married,secondary,873,yes,no,unknown,792,3,yes
45,blue-collar,divorced,primary,594,yes,no,unknown,833,2,yes
29,blue-collar,single,secondary,-20,yes,no,unknown,814,2,yes
38,management,divorced,tertiary,4692,yes,no,unknown,1363,2,yes
30,blue-collar,married,secondary,486,yes,no,unknown,1109,3,yes
44,blue-collar,single,primary,1593,yes,no,unknown,828,3,yes
36,management,single,tertiary,7606,yes,no,unknown,917,1,yes
38,technician,married,secondary,226,yes,no,unknown,762,3,yes
36,blue-collar,single,secondary,366,yes,yes,unknown,1133,2,yes
37,management,divorced,secondary,16,yes,no,unknown,638,1,yes
35,management,single,tertiary,565,yes,no,unknown,763,1,yes
38,admin.,divorced,secondary,19,yes,no,unknown,604,2,yes
40,services,married,primary,1082,yes,no,unknown,854,2,yes
42,unemployed,divorced,secondary,1713,yes,no,unknown,855,2,yes
46,management,divorced,tertiary,14481,yes,no,unknown,1269,1,yes
35,technician,divorced,secondary,5724,yes,no,unknown,691,10,yes
34,technician,divorced,secondary,1451,yes,no,unknown,1097,15,yes
32,services,married,secondary,-34,yes,no,unknown,1236,2,yes
50,unemployed,married,secondary,3674,yes,no,unknown,886,3,yes
35,blue-collar,married,secondary,698,yes,yes,unknown,1343,3,yes
36,technician,single,secondary,4136,yes,no,unknown,812,3,yes
53,blue-collar,divorced,primary,2656,yes,no,unknown,1980,2,yes
46,management,single,tertiary,2904,yes,no,unknown,984,2,yes
26,management,single,tertiary,1004,yes,no,unknown,228,2,yes
45,technician,single,secondary,410,yes,no,unknown,891,4,yes
31,unemployed,divorced,primary,0,yes,no,unknown,745,12,yes
29,management,single,tertiary,0,yes,no,unknown,539,12,yes
53,entrepreneur,single,secondary,62,yes,no,unknown,1044,5,yes
27,blue-collar,married,primary,416,yes,no,unknown,1193,2,yes
39,management,married,tertiary,2763,yes,no,unknown,526,2,yes
36,services,married,secondary,2984,yes,no,unknown,394,1,yes
41,blue-collar,married,primary,143,yes,yes,unknown,659,2,yes
36,services,married,primary,0,yes,no,unknown,1036,1,yes
32,technician,married,secondary,696,yes,no,unknown,815,1,yes
35,services,married,secondary,152,yes,no,unknown,563,1,yes
36,management,single,tertiary,-78,yes,no,unknown,1068,1,yes
35,management,married,tertiary,867,yes,no,unknown,230,3,yes
30,blue-collar,single,secondary,953,yes,no,unknown,747,2,yes
42,blue-collar,married,secondary,443,yes,no,unknown,671,5,yes
42,technician,single,secondary,-1129,yes,no,unknown,555,5,yes
32,blue-collar,married,primary,415,yes,no,unknown,777,4,yes
29,blue-collar,single,secondary,260,yes,no,unknown,707,14,yes
44,management,divorced,tertiary,-411,yes,no,unknown,432,4,yes
32,technician,single,secondary,1279,yes,no,unknown,1173,3,yes
31,unemployed,married,secondary,86,yes,yes,unknown,963,2,yes
40,self-employed,married,secondary,-754,yes,yes,unknown,941,3,yes
43,entrepreneur,married,secondary,0,no,no,unknown,1025,7,yes
27,management,single,secondary,178,yes,no,unknown,732,2,yes
37,services,single,secondary,278,yes,no,unknown,1045,3,yes
23,services,single,secondary,425,yes,no,unknown,768,1,yes
25,management,married,primary,168,yes,no,unknown,801,1,yes
26,blue-collar,single,secondary,-36,yes,no,unknown,482,2,yes
47,blue-collar,divorced,primary,126,yes,no,unknown,2456,2,yes
35,admin.,married,secondary,-87,yes,no,unknown,1363,7,yes
32,technician,single,tertiary,6281,yes,no,unknown,1336,4,yes
45,management,divorced,secondary,644,yes,no,unknown,633,1,yes
30,admin.,divorced,secondary,377,yes,no,unknown,524,15,yes
29,services,single,secondary,-271,yes,no,unknown,578,1,yes
38,blue-collar,married,primary,5839,yes,no,unknown,984,2,yes
23,blue-collar,single,secondary,492,yes,no,unknown,638,1,yes
27,management,single,tertiary,99,yes,no,unknown,767,2,yes
27,management,single,tertiary,-713,yes,no,unknown,525,2,yes
29,services,single,secondary,32,yes,no,unknown,563,1,yes
30,self-employed,married,tertiary,543,yes,yes,unknown,1449,6,yes
36,blue-collar,married,primary,403,yes,no,unknown,920,1,yes
35,admin.,divorced,secondary,437,yes,no,unknown,908,1,yes
36,blue-collar,married,secondary,1772,no,no,unknown,208,1,yes
59,retired,divorced,primary,-88,yes,no,unknown,910,2,yes
47,entrepreneur,married,secondary,0,no,no,unknown,1446,1,yes
58,entrepreneur,married,tertiary,853,no,no,unknown,1149,2,yes
37,management,single,tertiary,240,no,no,unknown,1123,1,yes
46,admin.,single,secondary,849,yes,no,unknown,508,2,yes
43,blue-collar,single,secondary,318,yes,no,unknown,736,2,yes
27,management,single,tertiary,703,yes,no,unknown,590,3,yes
38,services,divorced,secondary,61,no,no,unknown,636,1,yes
53,housemaid,married,primary,104,no,yes,unknown,701,1,yes
47,blue-collar,married,secondary,1996,no,no,unknown,761,2,yes
56,housemaid,divorced,primary,1238,no,no,unknown,1558,1,yes
41,housemaid,married,secondary,879,no,no,unknown,1053,2,yes
29,self-employed,married,secondary,425,yes,no,unknown,562,15,yes
50,technician,married,secondary,416,yes,no,unknown,494,5,yes
45,blue-collar,divorced,primary,844,no,no,unknown,1018,3,yes
35,blue-collar,married,secondary,860,yes,no,unknown,884,4,yes
26,technician,single,secondary,639,yes,no,unknown,709,5,yes
26,admin.,married,secondary,710,yes,yes,unknown,1276,2,yes
37,blue-collar,married,unknown,1508,no,yes,unknown,381,2,yes
30,admin.,single,secondary,223,yes,no,unknown,862,11,yes
38,management,single,tertiary,619,yes,no,unknown,460,4,yes
37,services,divorced,secondary,319,yes,no,unknown,467,3,yes
53,technician,married,secondary,480,no,no,unknown,648,2,yes
29,blue-collar,single,primary,213,yes,no,unknown,2653,3,yes
35,management,single,tertiary,68,no,no,unknown,1085,1,yes
28,blue-collar,married,secondary,2788,yes,no,unknown,369,2,yes
55,blue-collar,married,unknown,7561,no,no,unknown,685,3,yes
49,management,divorced,secondary,-46,yes,no,unknown,1055,10,yes
50,services,married,secondary,1595,no,no,unknown,882,1,yes
43,management,single,tertiary,1046,no,no,unknown,901,1,yes
58,self-employed,divorced,tertiary,1382,no,no,unknown,700,1,yes
38,technician,married,primary,217,yes,no,unknown,491,6,yes
48,blue-collar,divorced,primary,183,no,no,unknown,940,1,yes
59,management,married,secondary,1321,no,no,unknown,3881,3,yes
58,blue-collar,married,secondary,25,no,no,unknown,486,3,yes
36,self-employed,single,tertiary,4844,no,no,unknown,1137,3,yes
42,entrepreneur,married,tertiary,5345,no,no,unknown,878,3,yes
41,admin.,single,secondary,812,no,yes,unknown,583,4,yes
42,admin.,married,secondary,105,no,no,unknown,1159,4,yes
39,management,married,tertiary,-190,no,yes,unknown,893,8,yes
57,housemaid,married,primary,625,no,yes,unknown,867,1,yes
52,retired,married,unknown,293,no,no,unknown,706,1,yes
59,retired,married,unknown,1033,no,no,unknown,1199,1,yes
56,blue-collar,married,secondary,1210,no,no,unknown,935,1,yes
49,management,married,tertiary,64,no,no,unknown,586,1,yes
35,blue-collar,divorced,unknown,164,no,no,unknown,967,2,yes
36,unemployed,married,secondary,1766,no,no,unknown,595,2,yes
40,admin.,single,tertiary,1248,no,no,unknown,1290,2,yes
55,blue-collar,married,secondary,0,no,no,unknown,614,2,yes
58,admin.,married,secondary,826,no,no,unknown,885,1,yes
39,self-employed,married,tertiary,2630,no,no,unknown,651,5,yes
47,housemaid,single,tertiary,3727,no,no,unknown,993,6,yes
40,management,married,secondary,406,yes,no,unknown,577,2,yes
35,blue-collar,married,tertiary,2999,no,no,unknown,1141,6,yes
48,blue-collar,married,secondary,1000,yes,no,unknown,1268,2,yes
48,management,divorced,tertiary,503,no,yes,unknown,1243,7,yes
24,blue-collar,single,secondary,-203,yes,no,unknown,465,3,yes
49,blue-collar,married,primary,361,yes,no,unknown,513,2,yes
36,blue-collar,married,secondary,274,yes,no,unknown,686,11,yes
52,retired,divorced,tertiary,3687,yes,yes,unknown,741,4,yes
42,entrepreneur,single,unknown,323,no,no,unknown,617,1,yes
36,services,married,secondary,981,no,no,unknown,1093,1,yes
36,blue-collar,divorced,secondary,638,yes,no,unknown,1395,2,yes
48,unemployed,single,tertiary,3229,no,no,unknown,1089,1,yes
51,management,single,secondary,1610,yes,no,unknown,1248,3,yes
51,blue-collar,married,secondary,33,no,yes,unknown,721,3,yes
46,technician,married,secondary,536,yes,no,unknown,750,2,yes
37,management,married,tertiary,0,no,no,unknown,637,6,yes
36,entrepreneur,married,tertiary,3057,no,no,unknown,2769,4,yes
47,management,married,secondary,2892,no,no,unknown,556,1,yes
40,technician,divorced,tertiary,0,no,no,unknown,522,1,yes
38,student,single,tertiary,3316,no,no,unknown,1345,3,yes
40,management,married,secondary,106,no,no,unknown,676,2,yes
39,blue-collar,married,primary,2303,yes,no,unknown,775,3,yes
60,management,married,tertiary,3301,no,no,unknown,2621,3,yes
39,self-employed,single,tertiary,426,no,no,unknown,1029,1,yes
51,services,divorced,secondary,9,no,no,unknown,371,2,yes
27,admin.,married,secondary,-97,yes,no,unknown,1528,2,yes
41,management,single,tertiary,11008,no,no,unknown,1540,1,yes
42,blue-collar,single,primary,4930,no,no,unknown,973,1,yes
41,entrepreneur,married,secondary,707,no,no,unknown,707,1,yes
33,technician,married,secondary,4,yes,yes,unknown,625,2,yes
46,admin.,married,secondary,126,no,no,unknown,1255,1,yes
31,blue-collar,married,secondary,671,yes,no,unknown,704,4,yes
41,blue-collar,married,primary,219,no,yes,unknown,1574,3,yes
41,blue-collar,divorced,secondary,3622,no,no,unknown,1135,4,yes
55,retired,divorced,secondary,1580,no,yes,unknown,1007,1,yes
53,technician,married,secondary,1319,no,no,unknown,1318,3,yes
55,housemaid,married,primary,2152,no,no,unknown,922,2,yes
39,services,married,secondary,2843,yes,no,unknown,585,1,yes
40,entrepreneur,married,tertiary,0,no,no,unknown,952,4,yes
59,retired,married,primary,1115,no,no,unknown,834,1,yes
42,blue-collar,single,secondary,625,no,no,unknown,651,3,yes
41,blue-collar,married,primary,246,no,no,unknown,683,3,yes
27,blue-collar,married,secondary,61,yes,no,unknown,1012,1,yes
25,blue-collar,single,secondary,-191,yes,no,unknown,958,7,yes
43,unemployed,married,primary,519,no,no,unknown,973,2,yes
44,services,married,secondary,522,no,yes,unknown,911,1,yes
26,blue-collar,single,secondary,-46,yes,no,unknown,382,7,yes
52,retired,married,tertiary,2269,no,no,unknown,1210,1,yes
54,services,married,unknown,386,no,yes,unknown,838,1,yes
56,management,married,tertiary,0,no,yes,unknown,422,1,yes
57,management,married,tertiary,9103,no,yes,unknown,1098,2,yes
29,blue-collar,single,secondary,908,yes,no,unknown,1663,1,yes
47,technician,married,tertiary,1694,no,yes,unknown,560,3,yes
57,management,married,tertiary,-92,yes,yes,unknown,1617,1,yes
40,blue-collar,married,secondary,188,yes,yes,unknown,570,2,yes
46,services,divorced,secondary,0,no,no,unknown,1023,3,yes
43,blue-collar,single,secondary,740,yes,no,unknown,585,2,yes
45,management,married,tertiary,655,no,no,unknown,693,3,yes
24,management,married,secondary,867,yes,no,unknown,546,10,yes
40,blue-collar,married,secondary,1009,yes,yes,unknown,1036,5,yes
38,services,divorced,unknown,6360,no,no,unknown,1409,2,yes
36,unemployed,married,tertiary,4145,no,no,unknown,988,4,yes
27,blue-collar,single,secondary,-27,no,no,unknown,498,2,yes
26,admin.,single,primary,-122,yes,no,unknown,670,3,yes
43,management,married,tertiary,149,yes,no,unknown,662,2,yes
25,blue-collar,single,primary,52,yes,no,unknown,528,2,yes
27,blue-collar,married,tertiary,335,yes,no,unknown,519,3,yes
30,technician,married,tertiary,526,yes,yes,unknown,677,3,yes
28,admin.,single,secondary,-7,no,yes,unknown,3183,2,yes
27,blue-collar,married,primary,-413,no,yes,unknown,422,6,yes
32,admin.,divorced,secondary,-241,no,yes,unknown,856,2,yes
41,blue-collar,single,secondary,75,yes,no,unknown,479,9,yes
37,technician,single,tertiary,0,no,no,unknown,1135,2,yes
27,technician,single,secondary,158,no,no,unknown,650,2,yes
29,services,single,secondary,84,no,yes,unknown,587,3,yes
33,services,married,secondary,114,no,yes,unknown,676,1,yes
36,technician,married,primary,0,no,no,unknown,584,1,yes
28,blue-collar,single,secondary,-127,yes,no,cellular,1044,3,yes
55,blue-collar,married,secondary,49,yes,no,cellular,494,4,yes
51,technician,married,secondary,216,no,no,cellular,615,2,yes
39,technician,single,secondary,506,yes,no,cellular,718,2,yes
42,blue-collar,divorced,primary,213,yes,no,cellular,434,3,yes
33,services,single,secondary,170,no,no,cellular,782,1,yes
36,entrepreneur,divorced,tertiary,776,no,yes,cellular,722,3,yes
45,technician,married,secondary,879,no,no,cellular,621,2,yes
37,self-employed,married,secondary,1633,no,no,cellular,629,2,yes
46,unemployed,married,secondary,926,no,no,cellular,385,5,yes
32,self-employed,single,tertiary,2559,no,no,cellular,889,1,yes
28,technician,single,secondary,909,no,yes,cellular,532,1,yes
45,admin.,divorced,secondary,-176,no,yes,cellular,574,1,yes
41,blue-collar,single,secondary,1085,yes,yes,cellular,599,1,yes
59,blue-collar,divorced,primary,1265,no,yes,cellular,849,1,yes
47,technician,single,secondary,-239,yes,yes,cellular,973,3,yes
31,blue-collar,single,secondary,726,no,no,cellular,719,2,yes
31,management,single,tertiary,296,no,yes,cellular,509,4,yes
33,entrepreneur,married,secondary,-627,yes,yes,cellular,740,1,yes
52,entrepreneur,married,tertiary,-468,no,no,cellular,534,1,yes
26,self-employed,single,secondary,551,no,no,cellular,531,1,yes
25,technician,single,secondary,0,no,yes,cellular,634,1,yes
25,blue-collar,married,secondary,101,no,yes,cellular,460,3,yes
28,blue-collar,single,secondary,517,no,yes,cellular,681,1,yes
33,entrepreneur,divorced,tertiary,37,no,yes,cellular,1082,1,yes
45,management,divorced,tertiary,854,no,yes,cellular,730,1,yes
36,services,married,secondary,30,no,yes,cellular,716,5,yes
26,blue-collar,single,secondary,81,no,yes,cellular,803,2,yes
38,technician,married,secondary,0,no,no,cellular,635,1,yes
56,blue-collar,single,secondary,663,no,yes,cellular,819,3,yes
26,admin.,single,secondary,102,no,yes,cellular,658,2,yes
26,technician,married,secondary,370,no,yes,cellular,1061,4,yes
25,blue-collar,single,secondary,189,no,yes,cellular,687,2,yes
26,unemployed,single,secondary,111,no,no,cellular,537,1,yes
40,blue-collar,married,primary,665,yes,no,cellular,781,1,yes
37,admin.,married,primary,214,yes,no,cellular,645,1,yes
43,blue-collar,single,primary,0,no,no,cellular,1242,1,yes
41,services,divorced,tertiary,1583,yes,no,cellular,662,1,yes
49,blue-collar,married,secondary,0,no,yes,cellular,625,1,yes
29,admin.,divorced,tertiary,0,no,yes,cellular,426,3,yes
39,services,divorced,secondary,687,yes,no,cellular,869,1,yes
38,management,married,tertiary,327,yes,yes,cellular,556,5,yes
26,technician,married,secondary,-119,no,yes,cellular,359,5,yes
32,management,married,tertiary,794,yes,yes,cellular,1014,1,yes
33,blue-collar,married,primary,-191,yes,yes,cellular,1290,4,yes
31,management,single,tertiary,409,no,yes,cellular,564,5,yes
49,blue-collar,married,primary,3,no,yes,cellular,1439,6,yes
27,unemployed,single,primary,9,no,yes,cellular,919,2,yes
30,blue-collar,single,secondary,155,yes,yes,cellular,1426,3,yes
35,blue-collar,married,secondary,1330,no,no,cellular,901,1,yes
26,blue-collar,single,secondary,-29,yes,no,cellular,998,4,yes
45,entrepreneur,married,unknown,3133,yes,yes,cellular,804,1,yes
34,admin.,married,secondary,-33,yes,yes,cellular,961,1,yes
28,admin.,single,secondary,-170,no,yes,cellular,720,2,yes
25,blue-collar,single,secondary,1243,no,yes,cellular,1341,7,yes
30,blue-collar,single,secondary,1598,yes,no,cellular,634,1,yes
30,services,married,secondary,5,no,yes,cellular,829,5,yes
47,services,married,secondary,367,yes,no,cellular,476,4,yes
57,admin.,divorced,secondary,658,no,no,cellular,724,1,yes
38,management,married,tertiary,1722,yes,no,cellular,500,1,yes
54,technician,married,secondary,-315,no,yes,cellular,2029,1,yes
25,blue-collar,single,primary,2483,no,no,cellular,1499,3,yes
30,blue-collar,married,secondary,0,yes,yes,cellular,1399,1,yes
26,management,single,tertiary,45,no,no,cellular,1187,3,yes
31,student,married,primary,46,yes,no,cellular,487,1,yes
29,blue-collar,single,secondary,482,no,yes,cellular,1097,3,yes
49,blue-collar,married,secondary,3728,yes,no,cellular,1060,2,yes
60,retired,divorced,secondary,1099,no,no,cellular,764,2,yes
60,management,married,tertiary,2222,yes,no,cellular,1120,2,yes
29,management,single,tertiary,983,yes,no,cellular,963,2,yes
55,management,divorced,secondary,204,yes,no,cellular,1973,2,yes
44,admin.,married,secondary,1074,yes,no,cellular,911,2,yes
47,technician,married,secondary,3466,yes,no,cellular,853,2,yes
35,admin.,married,secondary,-203,yes,no,cellular,1649,2,yes
35,entrepreneur,married,secondary,2436,no,yes,cellular,1397,3,yes
38,technician,married,secondary,976,yes,no,cellular,766,3,yes
34,entrepreneur,married,tertiary,146,yes,no,cellular,788,2,yes
50,technician,married,secondary,156,no,yes,cellular,1130,3,yes
43,admin.,married,tertiary,189,yes,no,cellular,1062,4,yes
44,admin.,divorced,secondary,163,yes,no,cellular,1669,2,yes
